chemical_id	disease_id	disease_name	chemical_name	category	piece
DB00104	DOID:0050425				
DB00104	DOID:0050741				
DB00104	DOID:10283				
DB00104	DOID:10534				
DB00104	DOID:10652				
DB00104	DOID:10763				
DB00104	DOID:1094				
DB00104	DOID:11054				
DB00104	DOID:11119				
DB00104	DOID:1115				
DB00104	DOID:11476				
DB00104	DOID:1192				
DB00104	DOID:11934				
DB00104	DOID:12361				
DB00104	DOID:12365				
DB00104	DOID:12849				
DB00104	DOID:12930				
DB00104	DOID:12995				
DB00104	DOID:13189				
DB00104	DOID:1319				
DB00104	DOID:1324				
DB00104	DOID:14221				
DB00104	DOID:14227				
DB00104	DOID:14330				
DB00104	DOID:1459				
DB00104	DOID:1595				
DB00104	DOID:1612				
DB00104	DOID:1686				
DB00104	DOID:1781				
DB00104	DOID:1793	pancreatic cancer	Octreotide	SYM	1.0
DB00104	DOID:1826				
DB00104	DOID:1909				
DB00104	DOID:1936				
DB00104	DOID:2043				
DB00104	DOID:216				
DB00104	DOID:219				
DB00104	DOID:2355				
DB00104	DOID:2377				
DB00104	DOID:2394				
DB00104	DOID:2531				
DB00104	DOID:263				
DB00104	DOID:2841				
DB00104	DOID:2994				
DB00104	DOID:2998				
DB00104	DOID:3083				
DB00104	DOID:3310				
DB00104	DOID:3312				
DB00104	DOID:332				
DB00104	DOID:3393				
DB00104	DOID:363				
DB00104	DOID:4045				
DB00104	DOID:4159				
DB00104	DOID:418				
DB00104	DOID:4481				
DB00104	DOID:4989	pancreatitis	Octreotide	SYM	1.0
DB00104	DOID:5041				
DB00104	DOID:5408				
DB00104	DOID:5419				
DB00104	DOID:585				
DB00104	DOID:594				
DB00104	DOID:635				
DB00104	DOID:6364				
DB00104	DOID:7147				
DB00104	DOID:7148				
DB00104	DOID:784				
DB00104	DOID:8398				
DB00104	DOID:8577				
DB00104	DOID:8778				
DB00104	DOID:8893				
DB00104	DOID:8986				
DB00104	DOID:9008				
DB00104	DOID:9074				
DB00104	DOID:9352				
DB00104	DOID:9744	type 1 diabetes mellitus	Octreotide	SYM	1.0
DB00122	DOID:0050425				
DB00122	DOID:0050741				
DB00122	DOID:10283				
DB00122	DOID:10534				
DB00122	DOID:10652				
DB00122	DOID:10763				
DB00122	DOID:1094				
DB00122	DOID:11054				
DB00122	DOID:11119				
DB00122	DOID:1115				
DB00122	DOID:11476				
DB00122	DOID:1192				
DB00122	DOID:11934				
DB00122	DOID:12361				
DB00122	DOID:12365				
DB00122	DOID:12849				
DB00122	DOID:12930				
DB00122	DOID:12995				
